EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1334559,24,No,Non-Travel,Maternity,11,2,Other,1,Female,2,Therapist,Divorced,4011,0,Y,No,18,80,1,5,5,4,2,1,3
1402945,36,No,Travel_Rarely,Cardiology,9,4,Life Sciences,1,Male,1,Other,Single,3407,7,Y,No,23,80,0,10,4,5,3,0,3
1705718,34,No,Travel_Rarely,Neurology,7,4,Life Sciences,1,Female,3,Other,Single,11994,0,Y,No,11,80,0,13,4,12,6,2,11
1880078,21,No,Travel_Rarely,Maternity,15,2,Life Sciences,1,Male,1,Other,Single,1232,1,Y,No,14,80,0,0,6,0,0,0,0
1801346,34,No,Travel_Rarely,Maternity,6,1,Medical,1,Male,1,Other,Single,2960,2,Y,No,11,80,0,8,2,4,2,1,3
1142160,53,No,Travel_Rarely,Neurology,5,3,Other,1,Female,5,Other,Divorced,19094,4,Y,No,11,80,1,26,3,14,13,4,8
1142062,32,Yes,Travel_Frequently,Maternity,16,1,Life Sciences,1,Female,1,Other,Single,3919,1,Y,Yes,22,80,0,10,5,10,2,6,7
1789756,42,No,Travel_Rarely,Cardiology,8,4,Marketing,1,Male,2,Nurse,Married,6825,0,Y,No,11,80,1,10,2,9,7,4,2
1126009,44,No,Travel_Rarely,Maternity,7,4,Medical,1,Female,3,Nurse,Married,10248,3,Y,No,14,80,1,24,4,22,6,5,17
1552176,46,No,Travel_Rarely,Cardiology,2,4,Marketing,1,Female,5,Administrative,Single,18947,3,Y,No,12,80,0,22,2,2,2,2,1
1118605,33,No,Travel_Rarely,Maternity,2,3,Medical,1,Male,1,Nurse,Single,2496,4,Y,No,11,80,0,7,3,1,1,0,0
1397325,44,No,Travel_Rarely,Maternity,10,4,Other,1,Male,2,Nurse,Married,6465,2,Y,Yes,13,80,0,9,5,4,2,1,3
1874834,30,No,Travel_Rarely,Maternity,9,2,Medical,1,Male,1,Nurse,Single,2206,1,Y,No,13,80,0,10,5,10,0,1,8
1275746,39,No,Travel_Rarely,Cardiology,5,3,Technical Degree,1,Male,2,Other,Married,2086,3,Y,No,14,80,1,19,6,1,0,0,0
1884939,24,Yes,Travel_Rarely,Maternity,1,3,Medical,1,Male,1,Other,Married,2293,2,Y,Yes,16,80,1,6,2,2,0,2,0
1650304,43,No,Travel_Rarely,Maternity,2,2,Medical,1,Female,1,Other,Divorced,2645,1,Y,No,12,80,2,6,3,5,3,1,4
1058169,50,Yes,Travel_Rarely,Cardiology,3,2,Marketing,1,Male,1,Other,Married,2683,1,Y,Yes,14,80,0,3,2,3,2,0,2
1319183,35,No,Travel_Rarely,Cardiology,2,3,Marketing,1,Female,1,Other,Married,2014,1,Y,No,13,80,0,2,3,2,2,2,2
1872551,36,No,Travel_Rarely,Maternity,5,4,Life Sciences,1,Female,1,Other,Married,3419,9,Y,Yes,14,80,1,6,3,1,1,0,0
1060693,33,No,Travel_Frequently,Cardiology,1,3,Life Sciences,1,Female,2,Nurse,Married,5376,2,Y,No,19,80,2,10,3,5,3,1,3
1110390,35,No,Travel_Rarely,Maternity,4,2,Other,1,Male,1,Nurse,Divorced,1951,1,Y,No,12,80,1,1,3,1,0,0,0
1448895,27,No,Travel_Rarely,Maternity,2,4,Life Sciences,1,Female,1,Nurse,Divorced,2341,1,Y,No,13,80,1,1,6,1,0,0,0
1547220,26,Yes,Travel_Rarely,Maternity,25,3,Life Sciences,1,Male,1,Nurse,Single,2293,1,Y,No,12,80,0,1,2,1,0,0,1
1680993,27,No,Travel_Frequently,Cardiology,8,3,Life Sciences,1,Male,3,Nurse,Single,8726,1,Y,No,15,80,0,9,0,9,8,1,7
1100187,30,No,Travel_Frequently,Maternity,1,2,Medical,1,Female,2,Nurse,Single,4011,1,Y,No,23,80,0,12,2,12,8,3,7
1881631,41,No,Travel_Rarely,Neurology,12,3,Technical Degree,1,Female,5,Other,Married,19545,1,Y,No,12,80,0,23,0,22,15,15,8
1622068,34,No,Non-Travel,Cardiology,23,4,Marketing,1,Male,2,Nurse,Single,4568,0,Y,No,20,80,0,10,2,9,5,8,7
1336903,37,No,Travel_Rarely,Maternity,19,2,Life Sciences,1,Male,1,Other,Married,3022,4,Y,No,21,80,0,8,1,1,0,0,0
1126243,46,No,Travel_Frequently,Cardiology,5,4,Marketing,1,Male,2,Nurse,Single,5772,4,Y,Yes,21,80,0,14,4,9,6,0,8
1053707,35,No,Travel_Rarely,Maternity,8,1,Life Sciences,1,Male,1,Nurse,Married,2269,1,Y,No,19,80,0,1,2,1,0,0,1
1708688,48,Yes,Travel_Rarely,Maternity,1,2,Life Sciences,1,Male,3,Nurse,Single,5381,9,Y,Yes,13,80,0,23,2,1,0,0,0
1208582,28,Yes,Travel_Rarely,Maternity,5,4,Technical Degree,1,Male,1,Nurse,Single,3441,1,Y,Yes,13,80,0,2,3,2,2,2,2
1127416,44,No,Travel_Rarely,Cardiology,1,5,Marketing,1,Female,2,Nurse,Divorced,5454,5,Y,Yes,21,80,1,9,2,4,3,1,3
1710090,35,No,Non-Travel,Maternity,11,2,Medical,1,Male,3,Nurse,Married,9884,2,Y,Yes,13,80,1,10,3,4,0,2,3
1146606,26,Yes,Travel_Rarely,Cardiology,23,3,Marketing,1,Female,2,Nurse,Married,4157,7,Y,Yes,19,80,1,5,2,2,2,0,0
1674685,33,No,Travel_Frequently,Neurology,1,2,Life Sciences,1,Female,3,Other,Single,13458,1,Y,Yes,12,80,0,15,1,15,14,8,12
1477077,35,No,Travel_Frequently,Cardiology,18,5,Life Sciences,1,Male,3,Nurse,Married,9069,1,Y,No,22,80,1,9,3,9,8,1,8
1269275,35,No,Travel_Rarely,Maternity,23,4,Medical,1,Female,1,Nurse,Married,4014,3,Y,Yes,15,80,1,4,3,2,2,2,2
1620694,31,No,Travel_Rarely,Maternity,7,4,Life Sciences,1,Male,2,Nurse,Divorced,5915,3,Y,No,22,80,1,10,3,7,7,1,7
1618486,37,No,Travel_Rarely,Neurology,1,4,Life Sciences,1,Male,2,Therapist,Divorced,5993,1,Y,No,18,80,1,7,2,7,5,0,7
1208054,32,No,Travel_Rarely,Neurology,1,3,Medical,1,Male,2,Therapist,Married,6162,1,Y,Yes,22,80,1,9,3,9,8,7,8
1545352,38,No,Travel_Frequently,Maternity,29,5,Life Sciences,1,Female,2,Nurse,Single,2406,1,Y,No,11,80,0,10,2,10,3,9,9
1665908,50,No,Travel_Rarely,Neurology,7,2,Medical,1,Female,5,Other,Divorced,18740,5,Y,Yes,12,80,1,29,2,27,3,13,8
1312106,59,No,Travel_Rarely,Cardiology,25,3,Life Sciences,1,Female,3,Nurse,Single,7637,7,Y,No,11,80,0,28,3,21,16,7,9
1391215,36,No,Travel_Rarely,Maternity,8,3,Technical Degree,1,Female,3,Nurse,Divorced,10096,1,Y,No,13,80,3,17,2,17,14,12,8
1677994,55,No,Travel_Rarely,Neurology,8,3,Medical,1,Female,4,Other,Divorced,14756,2,Y,Yes,14,80,3,21,2,5,0,0,2
1216003,36,No,Travel_Frequently,Maternity,11,3,Life Sciences,1,Male,2,Therapist,Single,6499,1,Y,No,13,80,0,6,3,6,5,0,3
1503437,45,No,Travel_Rarely,Maternity,7,3,Life Sciences,1,Male,3,Other,Divorced,9724,2,Y,No,17,80,1,25,2,1,0,0,0
1381585,35,No,Travel_Frequently,Maternity,1,3,Medical,1,Male,1,Other,Married,2194,4,Y,No,13,80,1,5,2,3,2,1,2
1312369,36,Yes,Travel_Rarely,Maternity,9,3,Medical,1,Male,1,Other,Married,3388,0,Y,Yes,17,80,1,2,0,1,0,0,0
1576355,59,No,Travel_Frequently,Cardiology,1,1,Life Sciences,1,Female,2,Nurse,Single,5473,7,Y,No,11,80,0,20,2,4,3,1,3
1659485,29,No,Travel_Rarely,Maternity,2,3,Life Sciences,1,Male,1,Other,Married,2703,0,Y,No,23,80,1,6,3,5,4,0,4
1530200,31,No,Travel_Rarely,Maternity,1,4,Medical,1,Male,1,Other,Single,2501,1,Y,No,17,80,0,1,4,1,1,1,0
1773482,32,No,Travel_Rarely,Maternity,1,3,Life Sciences,1,Male,2,Other,Married,6220,1,Y,No,17,80,2,10,3,10,4,0,9
1188108,36,No,Travel_Rarely,Maternity,6,3,Life Sciences,1,Female,1,Nurse,Married,3038,3,Y,No,12,80,0,5,3,1,0,0,0
1471418,31,No,Travel_Rarely,Cardiology,8,4,Life Sciences,1,Female,2,Therapist,Single,4424,1,Y,No,23,80,0,11,2,11,7,1,8
1081842,35,No,Travel_Rarely,Cardiology,1,4,Marketing,1,Male,2,Nurse,Single,4312,0,Y,No,14,80,0,16,2,15,13,2,8
1146021,45,No,Travel_Rarely,Neurology,6,4,Other,1,Male,3,Other,Married,13245,4,Y,Yes,14,80,0,17,3,0,0,0,0
1880248,37,No,Travel_Rarely,Neurology,7,4,Medical,1,Male,3,Other,Single,13664,4,Y,No,13,80,0,16,3,5,2,0,2
1267807,46,No,Travel_Rarely,Neurology,5,2,Medical,1,Male,2,Other,Divorced,5021,8,Y,Yes,22,80,1,16,2,4,2,0,2
1247348,30,No,Travel_Rarely,Maternity,1,1,Life Sciences,1,Male,2,Nurse,Married,5126,1,Y,Yes,12,80,2,10,1,10,8,3,0
1886039,35,No,Travel_Rarely,Maternity,1,3,Medical,1,Male,1,Other,Single,2859,1,Y,No,18,80,0,6,3,6,4,0,4
1134060,55,No,Travel_Rarely,Cardiology,1,2,Life Sciences,1,Male,3,Nurse,Married,10239,3,Y,No,14,80,1,24,4,1,0,1,0
1403326,38,No,Non-Travel,Maternity,6,3,Medical,1,Female,2,Other,Divorced,5329,7,Y,Yes,12,80,3,17,3,13,11,1,9
1689558,34,No,Travel_Rarely,Neurology,1,2,Medical,1,Male,2,Therapist,Married,4325,1,Y,No,15,80,0,5,2,5,2,1,3
1122798,56,No,Travel_Rarely,Neurology,7,3,Life Sciences,1,Male,3,Therapist,Single,7260,4,Y,No,11,80,0,37,3,6,4,0,2
1477348,23,No,Travel_Rarely,Cardiology,2,1,Technical Degree,1,Male,1,Other,Divorced,2322,3,Y,No,13,80,1,3,3,0,0,0,0
1061371,51,No,Travel_Rarely,Maternity,9,4,Life Sciences,1,Male,1,Nurse,Married,2075,3,Y,No,23,80,2,10,4,4,2,0,3
1535342,30,No,Travel_Rarely,Maternity,2,3,Life Sciences,1,Male,2,Nurse,Married,4152,1,Y,No,19,80,3,11,3,11,10,10,8
1386780,46,No,Travel_Rarely,Cardiology,9,2,Medical,1,Male,3,Nurse,Single,9619,1,Y,No,16,80,0,9,3,9,8,4,7
1254775,40,No,Travel_Frequently,Maternity,1,4,Life Sciences,1,Male,4,Nurse,Married,13503,1,Y,No,22,80,1,22,3,22,3,11,11
1818921,51,No,Travel_Rarely,Cardiology,21,4,Marketing,1,Male,2,Nurse,Single,5441,0,Y,Yes,22,80,0,11,2,10,7,1,0
1848882,30,No,Travel_Rarely,Cardiology,4,2,Medical,1,Female,2,Nurse,Divorced,5209,1,Y,Yes,12,80,3,11,4,11,8,2,7
1537412,46,No,Travel_Frequently,Maternity,1,3,Medical,1,Male,3,Nurse,Married,10673,2,Y,Yes,13,80,1,21,5,10,9,9,5
1231380,32,No,Travel_Rarely,Cardiology,6,4,Medical,1,Male,2,Nurse,Single,5010,1,Y,No,16,80,0,12,0,11,8,5,7
1293078,54,No,Travel_Rarely,Neurology,2,4,Technical Degree,1,Female,3,Other,Married,13549,9,Y,No,12,80,1,16,5,4,3,0,3
1026798,24,No,Travel_Rarely,Cardiology,3,2,Other,1,Female,2,Nurse,Married,4999,0,Y,No,21,80,1,4,2,3,2,0,2
1500402,28,No,Non-Travel,Cardiology,4,3,Medical,1,Male,2,Nurse,Married,4221,1,Y,No,15,80,0,5,3,5,4,0,4
1514098,58,No,Travel_Rarely,Cardiology,10,4,Medical,1,Male,4,Nurse,Single,13872,0,Y,No,13,80,0,38,1,37,10,1,8
1487216,44,No,Non-Travel,Maternity,23,3,Medical,1,Male,2,Nurse,Married,2042,4,Y,No,12,80,1,17,3,3,2,1,2
1843825,37,Yes,Travel_Rarely,Neurology,6,4,Human Resources,1,Male,1,Other,Divorced,2073,4,Y,Yes,22,80,0,7,3,3,2,0,2
1635251,32,No,Travel_Rarely,Maternity,1,1,Life Sciences,1,Male,1,Other,Single,2956,1,Y,No,13,80,0,1,2,1,0,0,0
1088304,20,Yes,Travel_Frequently,Maternity,6,3,Life Sciences,1,Female,1,Nurse,Single,2926,1,Y,Yes,18,80,0,1,5,1,0,1,0
1792856,34,No,Travel_Rarely,Maternity,6,4,Other,1,Female,2,Other,Single,4809,1,Y,No,14,80,0,16,3,16,13,2,10
1787161,37,No,Non-Travel,Maternity,2,2,Life Sciences,1,Male,2,Nurse,Divorced,5163,5,Y,No,14,80,1,17,2,1,0,0,0
1627796,59,No,Non-Travel,Neurology,2,4,Human Resources,1,Female,5,Administrative,Married,18844,9,Y,No,21,80,1,30,3,3,2,2,2
1077558,50,No,Travel_Frequently,Neurology,1,3,Life Sciences,1,Female,5,Other,Married,18172,3,Y,Yes,19,80,0,28,1,8,3,0,7
1410589,25,Yes,Travel_Rarely,Cardiology,5,3,Marketing,1,Male,2,Nurse,Single,5744,1,Y,Yes,11,80,0,6,1,6,4,0,3
1657986,25,No,Travel_Rarely,Maternity,7,1,Medical,1,Male,1,Other,Married,2889,1,Y,No,11,80,2,2,2,2,2,2,1
1353326,22,No,Travel_Rarely,Maternity,15,3,Medical,1,Female,1,Nurse,Single,2871,1,Y,No,15,80,0,1,5,0,0,0,0
1523794,51,No,Travel_Frequently,Maternity,1,4,Medical,1,Female,3,Nurse,Single,7484,3,Y,No,20,80,0,23,1,13,12,12,8
1851151,34,Yes,Travel_Frequently,Maternity,7,3,Life Sciences,1,Male,2,Nurse,Single,6074,1,Y,Yes,24,80,0,9,3,9,7,0,6
1645988,54,No,Non-Travel,Neurology,26,3,Human Resources,1,Female,4,Administrative,Single,17328,2,Y,Yes,12,80,0,23,3,5,3,4,4
1849283,24,No,Travel_Rarely,Maternity,18,1,Life Sciences,1,Male,1,Nurse,Married,2774,0,Y,No,12,80,1,6,2,5,3,1,2
1073480,34,No,Travel_Rarely,Maternity,6,4,Life Sciences,1,Female,2,Other,Divorced,4505,6,Y,No,15,80,1,12,3,1,0,0,0
1157113,37,No,Travel_Rarely,Cardiology,3,3,Life Sciences,1,Male,3,Nurse,Single,7428,2,Y,No,12,80,0,12,3,5,3,1,3
1130224,34,No,Travel_Rarely,Neurology,5,3,Medical,1,Female,3,Other,Single,11631,2,Y,No,12,80,0,14,6,11,10,5,8
1427732,36,No,Travel_Frequently,Cardiology,11,2,Technical Degree,1,Female,3,Nurse,Married,9738,0,Y,No,14,80,1,10,6,9,7,2,8
1852975,36,No,Travel_Rarely,Maternity,3,2,Life Sciences,1,Female,1,Nurse,Divorced,2835,5,Y,No,22,80,1,7,2,1,0,0,0
1845017,43,No,Travel_Frequently,Cardiology,26,2,Life Sciences,1,Male,4,Administrative,Married,16959,1,Y,Yes,12,80,2,25,3,25,12,4,12
1212660,30,No,Travel_Frequently,Maternity,23,3,Life Sciences,1,Male,1,Other,Divorced,2613,1,Y,No,25,80,3,10,2,10,7,0,9
1264790,33,No,Non-Travel,Cardiology,22,2,Marketing,1,Male,2,Nurse,Married,6146,0,Y,No,13,80,1,8,2,7,7,0,7
1515486,56,Yes,Travel_Rarely,Maternity,14,4,Life Sciences,1,Female,1,Other,Married,4963,9,Y,Yes,18,80,3,7,2,5,4,4,3
1832980,51,No,Travel_Rarely,Neurology,6,3,Life Sciences,1,Male,5,Other,Single,19537,7,Y,No,13,80,0,23,5,20,18,15,15
1031688,31,Yes,Travel_Rarely,Cardiology,6,4,Life Sciences,1,Male,2,Nurse,Married,6172,4,Y,Yes,18,80,0,12,3,7,7,7,7
1433172,26,No,Travel_Rarely,Maternity,6,3,Other,1,Female,1,Other,Married,2368,1,Y,No,19,80,0,5,3,5,4,4,3
1607390,58,No,Travel_Rarely,Maternity,23,4,Medical,1,Female,3,Nurse,Married,10312,1,Y,No,12,80,1,40,3,40,10,15,6
1842764,19,Yes,Travel_Rarely,Cardiology,22,1,Marketing,1,Male,1,Other,Single,1675,1,Y,Yes,19,80,0,0,2,0,0,0,0
1176986,22,No,Travel_Rarely,Maternity,2,1,Technical Degree,1,Male,1,Nurse,Married,2523,0,Y,No,14,80,1,3,2,2,1,2,1
1835832,49,No,Travel_Rarely,Maternity,20,4,Medical,1,Female,2,Therapist,Married,6567,1,Y,No,14,80,0,16,2,15,11,5,11
1450885,43,No,Travel_Frequently,Maternity,28,3,Medical,1,Female,1,Other,Single,4739,4,Y,No,12,80,0,18,2,3,2,1,2
1810635,50,No,Travel_Frequently,Cardiology,12,3,Marketing,1,Female,3,Nurse,Single,9208,4,Y,No,11,80,0,16,3,2,2,2,1
1810242,31,Yes,Travel_Rarely,Cardiology,20,3,Life Sciences,1,Female,2,Nurse,Married,4559,3,Y,Yes,11,80,1,4,2,2,2,2,2
1148129,41,No,Travel_Rarely,Cardiology,9,1,Life Sciences,1,Male,3,Nurse,Divorced,8189,3,Y,Yes,13,80,1,12,2,9,7,0,7
1085450,26,No,Travel_Rarely,Neurology,25,1,Life Sciences,1,Female,1,Other,Married,2942,1,Y,No,23,80,1,8,3,8,7,5,7
1699939,36,No,Travel_Rarely,Neurology,6,2,Medical,1,Male,2,Therapist,Divorced,4941,6,Y,No,20,80,2,7,0,3,2,0,1
1612623,51,Yes,Travel_Frequently,Cardiology,8,4,Life Sciences,1,Male,3,Therapist,Single,10650,2,Y,No,15,80,0,18,2,4,2,0,3
1069811,39,No,Travel_Rarely,Cardiology,4,4,Life Sciences,1,Female,2,Nurse,Married,5902,4,Y,No,14,80,1,17,1,15,11,5,9
1717795,25,No,Travel_Rarely,Cardiology,28,3,Life Sciences,1,Male,2,Nurse,Married,8639,2,Y,No,18,80,0,6,3,2,2,2,2
1341925,30,No,Travel_Rarely,Neurology,9,3,Human Resources,1,Male,2,Other,Married,6347,0,Y,Yes,19,80,0,12,2,11,9,4,7
1113668,32,Yes,Travel_Rarely,Maternity,9,3,Medical,1,Female,1,Nurse,Single,4200,7,Y,No,22,80,0,10,2,5,4,0,4
1164932,45,No,Travel_Rarely,Maternity,29,3,Medical,1,Male,1,Other,Single,3452,5,Y,No,13,80,0,9,2,6,5,0,3
1328110,38,No,Travel_Rarely,Maternity,3,5,Technical Degree,1,Female,2,Other,Single,4317,3,Y,Yes,20,80,0,19,2,3,2,2,2
1744823,30,No,Travel_Rarely,Maternity,18,3,Life Sciences,1,Female,1,Other,Single,2632,1,Y,No,14,80,0,5,4,5,4,0,4
1431031,32,No,Travel_Frequently,Cardiology,9,2,Medical,1,Male,2,Nurse,Divorced,4668,0,Y,No,17,80,3,9,2,8,7,0,7
1587864,30,No,Travel_Rarely,Maternity,5,3,Technical Degree,1,Female,1,Other,Divorced,3204,5,Y,No,14,80,1,8,3,3,2,2,2
1577226,30,No,Travel_Rarely,Maternity,2,1,Medical,1,Male,1,Nurse,Single,2720,0,Y,No,13,80,0,6,3,5,3,1,2
1162762,41,No,Travel_Frequently,Neurology,10,3,Life Sciences,1,Male,4,Other,Divorced,17181,4,Y,No,13,80,1,21,2,7,6,7,7
1035340,41,No,Travel_Rarely,Maternity,9,4,Life Sciences,1,Male,1,Nurse,Married,2238,2,Y,No,21,80,1,7,2,5,0,1,4
1529493,19,No,Travel_Rarely,Maternity,3,1,Medical,1,Female,1,Nurse,Single,1483,1,Y,No,14,80,0,1,3,1,0,0,0
1789511,40,No,Travel_Frequently,Maternity,26,3,Medical,1,Female,2,Other,Divorced,5605,1,Y,No,11,80,1,20,2,20,7,2,13
1047751,35,No,Travel_Rarely,Cardiology,1,5,Marketing,1,Male,3,Nurse,Married,7295,1,Y,No,13,80,2,10,3,10,8,0,6
1057195,53,No,Travel_Rarely,Cardiology,6,2,Marketing,1,Male,2,Other,Married,2306,2,Y,Yes,20,80,1,13,3,7,7,4,5
1682385,45,No,Travel_Rarely,Maternity,9,3,Life Sciences,1,Male,2,Nurse,Divorced,2348,8,Y,No,18,80,1,20,2,17,9,0,15
1314990,32,No,Travel_Frequently,Cardiology,8,3,Marketing,1,Female,3,Nurse,Single,8998,1,Y,No,14,80,0,9,2,9,8,3,7
1157784,29,No,Non-Travel,Neurology,1,1,Technical Degree,1,Male,2,Therapist,Married,4319,1,Y,No,13,80,1,10,1,10,7,0,9
1819484,51,No,Travel_Rarely,Neurology,7,4,Medical,1,Male,2,Therapist,Married,6132,2,Y,No,17,80,0,10,2,1,0,0,0
1172011,58,No,Travel_Rarely,Maternity,9,3,Medical,1,Female,1,Other,Married,3346,4,Y,Yes,20,80,1,9,3,1,0,0,0
1562685,40,No,Travel_Rarely,Cardiology,4,4,Marketing,1,Male,3,Nurse,Married,10855,7,Y,No,11,80,1,15,2,12,11,2,11
1404919,34,No,Travel_Frequently,Cardiology,2,4,Marketing,1,Female,1,Other,Married,2231,6,Y,No,18,80,1,6,3,4,3,1,2
1751538,22,No,Travel_Rarely,Maternity,19,1,Medical,1,Male,1,Other,Married,2323,1,Y,No,24,80,2,2,6,2,2,2,2
1883822,27,No,Non-Travel,Maternity,9,3,Medical,1,Male,1,Other,Divorced,2024,6,Y,No,18,80,1,6,1,2,2,2,2
1460812,28,No,Travel_Rarely,Maternity,21,3,Medical,1,Male,1,Other,Married,2713,1,Y,No,11,80,1,5,2,5,2,0,2
1303708,57,No,Travel_Rarely,Maternity,24,2,Life Sciences,1,Male,3,Nurse,Divorced,9439,3,Y,Yes,16,80,1,12,2,5,3,1,4
1224013,27,Yes,Non-Travel,Maternity,3,3,Medical,1,Male,1,Other,Divorced,2566,1,Y,Yes,15,80,1,1,2,1,1,0,1
1495862,50,No,Travel_Rarely,Neurology,11,3,Life Sciences,1,Female,5,Other,Single,19926,3,Y,No,15,80,0,21,5,5,4,4,4
1379450,41,No,Travel_Rarely,Maternity,14,3,Life Sciences,1,Male,1,Other,Divorced,2451,4,Y,No,12,80,1,13,2,9,8,1,8
1138977,30,No,Travel_Rarely,Cardiology,5,3,Life Sciences,1,Female,3,Nurse,Married,9419,2,Y,No,12,80,1,12,2,10,9,7,4
1726077,38,No,Travel_Rarely,Cardiology,1,4,Life Sciences,1,Female,2,Nurse,Single,8686,4,Y,No,22,80,0,12,2,8,3,0,7
1101855,32,No,Travel_Rarely,Maternity,6,5,Life Sciences,1,Male,1,Other,Single,3038,3,Y,No,20,80,0,8,2,5,4,1,4
1715001,27,No,Travel_Rarely,Maternity,17,3,Technical Degree,1,Male,1,Other,Married,3058,0,Y,Yes,16,80,1,6,3,5,2,1,1
1820041,19,Yes,Travel_Frequently,Cardiology,1,1,Technical Degree,1,Female,1,Other,Single,2325,0,Y,No,21,80,0,1,5,0,0,0,0
1540435,36,No,Travel_Frequently,Maternity,3,2,Medical,1,Male,1,Nurse,Single,2088,4,Y,No,12,80,0,13,3,8,7,7,2
1340085,30,No,Non-Travel,Maternity,9,3,Medical,1,Male,2,Nurse,Divorced,3072,1,Y,No,11,80,2,12,4,12,9,6,10
1319352,45,No,Travel_Rarely,Cardiology,4,2,Life Sciences,1,Female,2,Nurse,Divorced,5006,4,Y,Yes,11,80,1,9,3,5,4,0,3
1722423,56,No,Travel_Rarely,Maternity,8,3,Life Sciences,1,Female,1,Other,Divorced,4257,4,Y,Yes,18,80,1,19,3,2,2,2,2
1853558,33,No,Travel_Rarely,Maternity,2,3,Life Sciences,1,Male,1,Other,Single,2500,0,Y,No,14,80,0,4,2,3,1,0,2
1517594,19,Yes,Travel_Rarely,Maternity,2,3,Life Sciences,1,Male,1,Nurse,Single,1102,1,Y,No,22,80,0,1,3,1,0,1,0
1700841,46,No,Travel_Rarely,Cardiology,1,2,Marketing,1,Female,3,Nurse,Divorced,10453,1,Y,No,25,80,3,24,2,24,13,15,7
1665761,38,No,Travel_Rarely,Maternity,9,2,Life Sciences,1,Female,1,Nurse,Single,2288,1,Y,No,12,80,0,2,3,2,2,2,1
